Country,Capital city,Exchange rate (per US$),National currency,"Pop. density (per km2, 2024)","Population (000, 2024)",Region,Sex ratio (m per 100 f),Surface area (km2),UN membership date,Capital_city_pop
Georgia,Tbilisi,2.7,Lari (GEL),54.8,3808.0,Western Asia,87.3,69700.0,1992-07-31,1077.3
Germany,Berlin,0.9,Euro (EUR),242.6,84552.0,Western Europe,97.6,357581.0,1973-09-18,3556.8
Ghana,Accra,11.9,Ghana Cedi (GHS),151.3,34427.0,Western Africa,99.8,238537.0,1957-03-08,2475.2
Gibraltar,Gibraltar,0.8,Gibraltar Pound (GIP),3932.9,39.0,Southern Europe,99.1,6.0,,34.7
Greece,Athens,0.9,Euro (EUR),76.8,10048.0,Southern Europe,93.9,131957.0,1945-10-25,3154.2
Greenland,Nuuk,6.7,Danish Krone (DKK),0.1,56.0,Northern America,110.9,2166086.0,,18.4
Grenada,Saint George's,2.7,E. Caribbean Dollar (XCD)c,344.7,117.0,Caribbean,100.5,345.0,1974-09-17,39.3
Guadeloupe,Basse-Terre,0.9,Euro (EUR),230.4,375.0,Caribbean,82.5,1639.0,,58.4
Guam,Hagåtña,1.0,US Dollar (USD),310.1,168.0,Micronesia,102.7,541.0,,146.9
Guatemala,Guatemala City,7.8,Quetzal (GTQ),171.8,18406.0,Central America,98.4,108889.0,1945-11-21,2891.2
Guinea,Conakry,9990.0,Guinean Franc (GNF),60.0,14755.0,Western Africa,98.0,245836.0,1958-12-12,1889.2
Guinea-Bissau,Bissau,593.6,"CFA Franc, BCEAO (XOF)c",78.3,2201.0,Western Africa,97.7,36125.0,1974-09-17,578.8
Guyana,Georgetown,208.5,Guyana Dollar (GYD),4.2,831.0,South America,94.9,214969.0,1966-09-20,109.9
Haiti,Port-au-Prince,131.8,Gourde (HTG),427.0,11773.0,Caribbean,98.0,27750.0,1945-10-24,2704.2
Holy See,Vatican City,0.9,Euro (EUR),,,Southern Europe,,,,0.8
Honduras,Tegucigalpa,24.7,Lempira (HNL),99.3,10826.0,Central America,101.4,112492.0,1945-12-17,1403.2
Hungary,Budapest,346.4,Forint (HUF),106.9,9676.0,Eastern Europe,92.4,93023.0,1955-12-14,1763.9
Iceland,Reykjavik,136.2,Iceland Krona (ISK),3.9,393.0,Northern Europe,104.9,103000.0,1946-11-19,216.4
India,New Delhi,83.1,Indian Rupee (INR),488.0,1450936.0,Southern Asia,106.5,3287263.0,1945-10-30,29399.1
Indonesia,Jakarta,15416.0,Rupiah (IDR),148.4,283488.0,South-eastern Asia,100.9,1910931.0,1950-09-28,10638.7
Iran (Islamic Republic of),Tehran,42000.0,Iranian Rial (IRR),56.2,91568.0,Southern Asia,103.3,1630848.0,1945-10-24,9013.7
Iraq,Baghdad,1300.0,Iraqi Dinar (IQD),106.1,46042.0,Western Asia,100.8,435052.0,1945-12-21,6974.4
Ireland,Dublin,0.9,Euro (EUR),76.9,5255.0,Northern Europe,98.0,69825.0,1955-12-14,1214.7
Isle of Man,Douglas,0.8,Pound Sterling (GBP),147.1,84.0,Northern Europe,98.1,572.0,,27.2
Israel,Jerusalemc,3.6,New Israeli Sheqel (ILS),433.7,9387.0,Western Asia,99.2,22072.0,1949-05-11,919.4
Italy,Rome,0.9,Euro (EUR),200.5,59343.0,Southern Europe,95.6,302068.0,1955-12-14,4234.0
Jamaica,Kingston,154.3,Jamaican Dollar (JMD),262.2,2839.0,Caribbean,97.8,10990.0,1962-09-18,589.8
Japan,Tokyo,141.9,Yen (JPY),328.4,123753.0,Eastern Asia,95.3,377930.0,1956-12-18,37435.2
Jordan,Amman,0.7,Jordanian Dinar (JOD),130.1,11553.0,Western Asia,106.5,89318.0,1955-12-14,2108.5
Kazakhstan,Astana,454.6,Tenge (KZT),7.6,20593.0,Central Asia,95.0,2724902.0,1992-03-02,1117.6
Kenya,Nairobi,156.5,Kenyan Shilling (KES),97.2,56433.0,Eastern Africa,98.9,591958.0,1963-12-16,4556.4
Kiribati,Bairiki,1.5,Australian Dollar (AUD),185.3,134.0,Micronesia,94.3,726.0,1999-09-14,3.2
Kuwait,Kuwait City,0.3,Kuwaiti Dinar (KWD),276.9,4934.0,Western Asia,157.2,17818.0,1963-05-14,3052.5
Kyrgyzstan,Bishkek,89.1,Som (KGS),37.5,7186.0,Central Asia,97.8,199949.0,1992-03-02,1017.2
Lao People's Democratic Republic,Vientiane,19162.0,Lao Kip (LAK),33.7,7770.0,South-eastern Asia,101.0,236800.0,1955-12-14,673.1
Latvia,Riga,0.9,Euro (EUR),30.1,1872.0,Northern Europe,86.4,64594.0,1991-09-17,633.8
Lebanon,Beirut,1507.5,Lebanese Pound (LBP),567.5,5806.0,Western Asia,94.7,10452.0,1945-10-24,2406.9
