Country,Capital city,Exchange rate (per US$),National currency,"Pop. density (per km2, 2024)","Population (000, 2024)",Region,Sex ratio (m per 100 f),Surface area (km2),UN membership date,Capital_city_pop
Afghanistan,Kabul,77.1,Afghani (AFN),65.7,42648.0,Southern Asia,102.0,652864.0,1946-11-19,4114.0
Albania,Tirana,93.9,Lek (ALL),101.9,2792.0,Southern Europe,97.8,28748.0,1955-12-14,484.6
Algeria,Algiers,134.3,Algerian Dinar (DZD),19.7,46814.0,Northern Africa,104.1,2381741.0,1962-10-08,2729.3
American Samoa,Pago Pago,1.0,US Dollar (USD),233.8,47.0,Polynesia,101.9,199.0,,48.5
Andorra,Andorra la Vella,0.9,Euro (EUR),174.3,82.0,Southern Europe,104.6,468.0,1993-07-28,22.6
Angola,Luanda,828.8,Kwanza (AOA),30.4,37886.0,Middle Africa,98.0,1246700.0,1976-12-01,8044.7
Anguilla,The Valley,2.7,E. Caribbean Dollar (XCD)d,165.9,15.0,Caribbean,94.5,91.0,,1.4
Antigua and Barbuda,Saint John's,2.7,E. Caribbean Dollar (XCD)c,213.1,94.0,Caribbean,90.8,442.0,1981-11-11,20.8
Argentina,Buenos Aires,807.0,Argentine Peso (ARS),16.4,45696.0,South America,98.5,2796427.0,1945-10-24,15057.3
Armenia,Yerevan,404.8,Armenian Dram (AMD),104.5,2974.0,Western Asia,86.7,29743.0,1992-03-02,1083.3
Aruba,Oranjestad,1.8,Aruban Florin (AWG),600.4,108.0,Caribbean,89.5,180.0,,29.9
Australia,Canberra,1.5,Australian Dollar (AUD),3.5,26713.0,Oceania,98.5,7692024.0,1945-11-01,452.5
Austria,Vienna,0.9,Euro (EUR),110.5,9121.0,Western Europe,97.0,83878.0,1955-12-14,1915.3
Azerbaijan,Baku,1.7,Azerbaijan manat (AZN),125.1,10337.0,Western Asia,96.1,86600.0,1992-03-02,2313.1
Bahamas,Nassau,1.0,Bahamian Dollar (BSD),74.9,401.0,Caribbean,91.4,13940.0,1973-09-18,279.7
Bahrain,Manama,0.4,Bahraini Dinar (BHD),2052.4,1607.0,Western Asia,163.4,778.0,1971-09-21,600.4
Bangladesh,Dhaka,110.0,Taka (BDT),1333.4,173562.0,Southern Asia,96.7,148460.0,1974-09-17,20283.6
Barbados,Bridgetown,2.0,Barbados Dollar (BBD),656.9,282.0,Caribbean,92.1,431.0,1966-12-09,89.2
Belarus,Minsk,3.2,Belarusian Ruble (BYN),44.6,9057.0,Eastern Europe,87.3,207600.0,1945-10-24,2016.7
Belgium,Brussels,0.9,Euro (EUR),387.7,11739.0,Western Europe,97.3,30528.0,1945-12-27,2065.3
Belize,Belmopan,2.0,Belize Dollar (BZD),18.3,417.0,Central America,101.8,22965.0,1981-09-25,23.0
Benin,Porto-Novoc,593.6,"CFA Franc, BCEAO (XOF)d",128.3,14463.0,Western Africa,100.6,114763.0,1960-09-20,285.3
Bermuda,Hamilton,1.0,Bermudian Dollar (BMD),1197.0,65.0,Northern America,95.8,54.0,,10.1
Bhutan,Thimphu,83.3,Ngultrum (BTN),20.6,792.0,Southern Asia,114.8,38394.0,1971-09-21,203.3
Bolivia (Plurinational State of),Sucred,6.9,Boliviano (BOB),11.5,12413.0,South America,100.4,1098581.0,1945-11-14,277.9
"Bonaire, Sint Eustatius and Saba",Kralendijk,1.0,US Dollar (USD),93.5,31.0,Caribbean,106.1,,,11.3
Bosnia and Herzegovina,Sarajevo,1.8,Convertible Mark (BAM),61.8,3164.0,Southern Europe,90.8,51209.0,1992-05-22,342.7
Botswana,Gaborone,13.4,Pula (BWP),4.4,2521.0,Southern Africa,99.4,582000.0,1966-10-17,269.3
Brazil,Brasilia,4.8,Brazilian Real (BRL),25.4,211999.0,South America,96.8,8515767.0,1945-10-24,4559.0
British Virgin Islands,Road Town,1.0,US Dollar (USD),256.3,40.0,Caribbean,90.0,151.0,,15.1
Brunei Darussalam,Bandar Seri Begawan,1.3,Brunei Dollar (BND),80.3,463.0,South-eastern Asia,113.2,5765.0,1984-09-21,40.8
Bulgaria,Sofia,1.8,Bulgarian Lev (BGN),62.3,6758.0,Eastern Europe,93.8,110372.0,1955-12-14,1276.9
