Country,Year,"Energy production, primary (Petajoules)",Energy supply per capita (Gigajoules),Forested area (% of land area),Important sites for terrestrial biodiversity protected (%),Individuals using the Internet (per 100 inhabitants),Net Official Development Assist. disbursed (% of GNI),Net Official Development Assist. received (% of GNI),Research & Development expenditure (% of GDP),Threatened species (number),Tourist/visitor arrivals at national borders (000),CO2 emission estimates - Total (million tons),CO2 emission estimates - Per capita (tons per capita),CO2 emission estimates - Total/CO2 emission estimates - Per capita Ratio,Pop. using safely managed drinking water - Urban (%),Pop. using safely managed drinking water - Rural (%),Pop. using safely managed drinking water - Urban/Pop. using safely managed drinking water - Rural Ratio,Pop. using safely managed sanitation - Urban (%),Pop. using safely managed sanitation - Rural (%),Pop. using safely managed sanitation - Urban/Pop. using safely managed sanitation - Rural Ratio
Congo,2024,705,25,64.2,72,36.2,,2.06,0.4,244,,4.3,0.7,614.2857143,58.6,19.1,306.8062827,,,
Cook Islands,2015,0,66,65,24.4,51,,,,73,125,0.1,4.5,2.222222222,,,,,,
Cook Islands,2020,0,61,65,30.9,54,,,,77,25,0.1,4.1,2.43902439,,,,,,
Cook Islands,2024,0,66,65,30.9,,,,,82,114,0.1,4.4,2.272727273,,,,,,
Costa Rica,2015,110,42,57.8,42.1,59.8,,0.21,0.4,323,2660,6.9,1.4,492.8571429,80.3,79.6,100.879397,21,35,60
Costa Rica,2020,116,40,59.4,42.2,80.5,,0.36,0.3,363,1012,6.5,1.3,500,80.4,81.1,99.13686806,22.5,35.3,63.73937677
Costa Rica,2024,116,42,59.8,42.2,82.6,,0.13,0.3,768,2350,7.4,1.4,528.5714286,80.4,81.1,99.13686806,23.1,35.6,64.88764045
Croatia,2015,184,82,34.3,81.9,69.8,0.08,0.23,0.8,159,12683,15.6,3.7,421.6216216,96.6,,,88.1,,
Croatia,2020,157,85,34.7,81.9,78.3,0.13,,1.2,212,5545,14.5,3.5,414.2857143,96.6,,,88.1,,
Croatia,2024,166,89,34.7,82,82.1,0.19,,1.2,224,15324,15.1,3.7,408.1081081,96.6,,,88.1,,
Cuba,2015,212,40,30.6,54.5,37.3,,0.65,0.4,337,3506,28.7,2.5,1148,,,,37.9,54.9,69.03460838
Cuba,2020,170,30,31.2,54.5,71.1,,0.76,0.5,357,1085,21.1,1.9,1110.526316,,,,37,55.2,67.02898551
Cuba,2024,172,32,31.2,54.5,73.2,,,0.3,441,1613,22.5,2,1125,,,,37.1,56,66.25
Curaçao,2015,1,635,0,40.4,,,,,49,468,7.2,42.4,16.98113208,,,,,,
Curaçao,2020,1,158,0.2,44.8,68.1,,,,58,175,1.9,9.9,19.19191919,,,,,,
Curaçao,2024,1,172,0.2,44.8,,,,,86,490,2.1,10.8,19.44444444,,,,,,
Cyprus,2015,5,72,18.7,69.2,71.7,,,0.5,60,2659,5.9,4.9,120.4081633,,,,86.2,,
Cyprus,2020,7,72,18.7,74.3,90.8,,,0.8,84,632,5.7,4.6,123.9130435,,,,86.2,,
Cyprus,2024,8,74,18.7,74.3,89.6,0.05,,0.8,105,1937,5.8,4.7,123.4042553,,,,86.2,,
Czechia,2015,1207,167,34.6,94.2,75.7,0.16,,1.9,45,11619,101.2,9.6,1054.166667,98,97.7,100.3070624,,,
Czechia,2020,987,160,34.7,94.8,81.3,0.18,,2,104,3919,85.8,8.2,1046.341463,98,97.7,100.3070624,,,
Czechia,2024,1024,170,34.7,94.8,84.5,0.34,,2,99,3768,91,8.7,1045.977011,98,97.7,100.3070624,,,
Côte d’Ivoire,2015,395,17,10.7,73.8,38.4,,1.46,,226,1441,9.5,0.4,2375,46,24.3,189.3004115,19,10.8,175.9259259
Côte d’Ivoire,2020,423,17,8.9,73.8,36,,2.63,0.1,280,668,11,0.4,2750,59,27.2,216.9117647,19.8,13.3,148.8721805
Côte d’Ivoire,2024,474,20,8.6,73.8,38.4,,2.33,,335,2047,13.8,0.5,2760,58.8,27.3,215.3846154,20.1,14.1,142.5531915
Democratic People's Republic of Korea,2015,862,16,51,0,0,,,,64,,30,1.2,2500,77.4,50.4,153.5714286,,9,
Democratic People's Republic of Korea,2020,755,31,50.1,0,,,,,88,,65.5,2.5,2620,77,48.8,157.7868852,,1.2,
Democratic People's Republic of Korea,2024,645,26,49.9,0,,,,,121,,53.4,2.1,2542.857143,77,48.8,157.7868852,,1.2,
Democratic Republic of the Congo,2015,1218,15,58.1,48.2,3.8,,7.4,0.4,333,354,2.8,0,inf,26.6,0.6,4433.333333,16.6,14.2,116.9014085
Democratic Republic of the Congo,2020,1370,15,55.6,50.5,19.8,,7.13,,497,202,3.4,0,inf,23.9,0.5,4780,15.4,11.2,137.5
Democratic Republic of the Congo,2024,1413,15,55.2,50.5,27.2,,6.94,,764,382,3.3,0,inf,24.2,0.5,4840,15.2,11.2,135.7142857
Denmark,2015,668,119,15.6,87.2,96.3,0.97,,3.1,36,28209,31.1,5.5,565.4545455,,,,,,
Denmark,2020,385,110,15.7,87.2,96.5,0.96,,3,77,16031,24.5,4.2,583.3333333,,,,,,
Denmark,2024,383,115,15.7,87.2,98.8,0.66,,2.8,62,31530,25.5,4.4,579.5454545,,,,,,
Djibouti,2015,4,11,0.2,0.8,22.9,,7.23,,94,63,0.5,0.5,100,,,,41.2,18.2,226.3736264
Djibouti,2020,4,10,0.3,0.8,62.5,,8.41,,110,75,0.4,0.3,133.3333333,,,,44.8,20.9,214.354067
Djibouti,2024,4,10,0.3,0.8,65,,5.39,,136,145,0.4,0.4,100,,,,44.8,20.9,214.354067
Dominica,2015,0,38,63.8,33.3,65,,2.25,,62,75,0.2,2.6,7.692307692,,,,,,
Dominica,2020,0,33,63.8,33.3,75.7,,12.59,,74,22,0.2,2.2,9.090909091,,,,,,
Dominica,2024,0,33,63.8,33.3,83.4,,14.46,,108,61,0.2,2.3,8.695652174,,,,,,
Dominican Republic,2015,33,32,43.5,76.6,54.2,,0.41,,153,5600,21.2,2,1060,46.9,34.5,135.942029,44.8,51.3,87.3294347
Dominican Republic,2020,44,34,45.1,76.6,81.6,,0.5,,203,2405,24.3,2.2,1104.545455,46.9,34.8,134.7701149,43,48.7,88.29568789
Dominican Republic,2024,48,39,45.3,76.6,89,,0.5,,348,7163,27.7,2.5,1108,46.9,34.9,134.3839542,42.3,47.6,88.86554622
Ecuador,2015,1260,37,51.6,24.9,48.9,,0.33,0.4,2308,1676,37.6,2.3,1634.782609,74,50.3,147.1172962,34,55,61.81818182
Ecuador,2020,1169,30,50.3,28.3,70.7,,0.36,,2501,507,29.4,1.7,1729.411765,74.7,52.8,141.4772727,32.1,59.4,54.04040404
Ecuador,2024,1158,34,50.1,28.5,72.7,,0.29,,2732,1265,34.2,1.9,1800,74.7,53.3,140.1500938,30.9,61,50.6557377
Egypt,2015,2991,35,0,38.7,37.8,,0.78,0.7,141,9328,191.6,2,9580,,,,69.9,57.9,120.7253886
Egypt,2020,3794,35,0,38.7,71.9,,0.44,0.9,172,3677,203.5,1.9,10710.52632,,,,72.6,63.1,115.0554675
Egypt,2024,4019,38,0,38.7,72.2,,2.03,1,216,11724,227.7,2.1,10842.85714,,,,72.6,63.1,115.0554675
El Salvador,2015,79,28,29.3,28,26.8,,0.4,0.1,83,1402,6.4,1,640,80.6,,,17.8,,
El Salvador,2020,87,28,28.2,28,54.6,,1.47,0.2,107,549,6.2,1,620,79.1,,,17.6,,
El Salvador,2024,87,31,28,28,62.9,,0.79,0.2,202,1891,7.2,1.1,654.5454545,78.6,,,17.4,,
Equatorial Guinea,2015,822,81,88.8,100,21.3,,0.07,,155,,6.1,4.5,135.5555556,,,,,,
Equatorial Guinea,2020,559,66,87.3,100,55,,0.08,,205,,5.8,3.6,161.1111111,,,,,,
Equatorial Guinea,2024,542,76,87,100,66.8,,0.14,,309,,6.8,4.2,161.9047619,,,,,,
Eritrea,2015,29,11,8.8,0,1.1,,6.54,,113,114,0.5,0.1,500,,,,,,
Eritrea,2020,31,11,8.7,0,23.8,,,,143,142,0.6,0.2,300,,,,,,
Eritrea,2024,31,11,8.7,0,26.6,,,,164,,0.6,0.2,300,,,,,,
Estonia,2015,205,155,55.7,94.8,88.4,0.15,,1.5,17,2961,16.1,12.2,131.9672131,,,,96.4,,
Estonia,2020,184,142,57,94.8,89.1,0.17,,1.8,48,1023,11.1,8.4,132.1428571,,,,97.3,,
Estonia,2024,185,144,57,94.9,91,0.54,,1.8,28,2166,12,9,133.3333333,,,,97.7,,
Eswatini,2015,28,36,28.6,21.2,25.6,,2.37,0.3,34,873,0.9,0.8,112.5,79.1,,,,,
Eswatini,2020,28,37,28.9,22.7,49,,2.95,,41,194,1.1,1,110,76.9,,,,,
Eswatini,2024,27,35,29,22.7,58.3,,2.8,,83,393,1,0.8,125,77.5,,,,,
Ethiopia,2015,1523,16,15.4,15.3,13.9,,5.04,0.6,145,864,10,0.1,10000,37.6,3.1,1212.903226,15.7,3.4,461.7647059
Ethiopia,2020,1724,16,15.1,16.8,16.1,,4.96,0.3,180,271,12.4,0.1,12400,38.3,5.1,750.9803922,17.1,4.1,417.0731707
Ethiopia,2024,1767,16,15.1,16.8,19.4,,3.68,,331,897,12.8,0.1,12800,38.6,5.8,665.5172414,17.4,4.2,414.2857143
