Country,Year,"Energy production, primary (Petajoules)",Energy supply per capita (Gigajoules),Forested area (% of land area),Important sites for terrestrial biodiversity protected (%),Individuals using the Internet (per 100 inhabitants),Net Official Development Assist. disbursed (% of GNI),Net Official Development Assist. received (% of GNI),Research & Development expenditure (% of GDP),Threatened species (number),Tourist/visitor arrivals at national borders (000),CO2 emission estimates - Total (million tons),CO2 emission estimates - Per capita (tons per capita),CO2 emission estimates - Total/CO2 emission estimates - Per capita Ratio,Pop. using safely managed drinking water - Urban (%),Pop. using safely managed drinking water - Rural (%),Pop. using safely managed drinking water - Urban/Pop. using safely managed drinking water - Rural Ratio,Pop. using safely managed sanitation - Urban (%),Pop. using safely managed sanitation - Rural (%),Pop. using safely managed sanitation - Urban/Pop. using safely managed sanitation - Rural Ratio
Iceland,2015,299,989,0.5,18.3,98.2,0.24,,2.2,21,1289,2,6.1,32.78688525,,,,,,
Iceland,2020,337,991,0.5,18.3,99.5,0.27,,2.5,36,486,1.5,4,37.5,,,,,,
Iceland,2024,334,981,0.5,19.6,99.9,0.34,,2.8,36,698,1.7,4.5,37.77777778,,,,,,
India,2015,21875,27,23.8,6.2,14.9,,0.15,0.7,1039,13284,2208.4,1.7,129905.8824,,52.6,,34.8,38,91.57894737
India,2020,23600,27,24.3,6.3,43.4,,0.07,0.6,1118,6291,2210.9,1.6,138181.25,,62.1,,40.4,51.9,77.84200385
India,2024,25144,28,24.4,6.3,48.1,,0.1,,1543,6989,2441.6,1.7,143623.5294,,66,,42.7,57.4,74.3902439
Indonesia,2015,17364,34,50.6,23.1,22.1,,0,0.1,1246,9963,460.3,1.8,25572.22222,33.6,22.2,151.3513514,,,
Indonesia,2020,20293,37,49.1,25.9,53.7,,0.12,0.3,1654,3915,623.2,2.3,27095.65217,34.3,23.7,144.7257384,,,
Indonesia,2024,21363,37,48.4,25.9,66.5,,0.05,,2601,1546,624.1,2.3,27134.78261,34.6,24.3,142.3868313,,,
Iran (Islamic Republic of),2015,13637,123,6.6,43.5,45.3,,0.03,0.4,121,5237,556.5,6.8,8183.823529,96,85.6,112.1495327,79.5,,
Iran (Islamic Republic of),2020,14937,138,6.6,43.5,75.6,,0.1,0.8,161,1550,638.1,7.3,8741.09589,96.1,87.1,110.3329506,77.3,,
Iran (Islamic Republic of),2024,16140,140,6.6,43.5,81.7,,,,194,4108,652.4,7.4,8816.216216,96.2,87.7,109.6921323,76.2,,
Iraq,2015,7565,43,1.9,5.5,15.2,,0.9,0,69,892,108.3,2.9,3734.482759,63.7,42.8,148.8317757,43.1,38.4,112.2395833
Iraq,2020,8794,47,1.9,5.6,53.7,,1.29,0,80,,118.9,2.8,4246.428571,64.6,47.6,135.7142857,52.9,47.6,111.1344538
Iraq,2024,8812,45,1.9,5.6,78.7,,0.88,0,103,,115.3,2.6,4434.615385,64.6,47.6,135.7142857,54.7,48,113.9583333
Ireland,2015,81,120,11,76.3,83.5,0.54,,1.2,39,9528,36.1,7.7,468.8311688,,,,81.8,70.7,115.7001414
Ireland,2020,146,113,11.4,83.4,92,0.35,,1.2,79,10951,32.3,6.5,496.9230769,,,,84.6,70.8,119.4915254
Ireland,2024,124,116,11.4,83.4,95.6,0.68,,1.1,76,,33.7,6.8,495.5882353,,,,84.8,70.7,119.9434229
Isle of Man,2015,0,49,6.1,19.5,,,,,3,,0.2,2.5,8,,,,,,
Isle of Man,2020,1,57,6.1,26.9,,,,,6,,0.3,3.2,9.375,,,,,,
Isle of Man,2024,1,47,6.1,26.9,,,,,10,,0.2,2.2,9.090909091,,,,,,
Israel,2015,273,114,7.6,16.4,77.4,0.07,,4.2,152,2799,62.7,7.8,803.8461538,99.6,99.4,100.2012072,91.2,89.1,102.3569024
Israel,2020,577,108,6.5,17.1,90.1,,,5.7,207,831,59,6.7,880.5970149,99.5,99.4,100.1006036,94.9,92.4,102.7056277
Israel,2024,716,107,6.5,17.1,92.1,0.09,,5.6,253,2675,58.7,6.6,889.3939394,99.5,99.4,100.1006036,96.4,93.8,102.771855
Italy,2015,1509,106,31.4,73.8,58.1,0.86,,1.3,279,50732,322.6,5.4,5974.074074,,,,79.4,78.1,101.6645327
Italy,2020,1462,96,32.3,76.7,70.5,0.34,,1.5,482,25190,268.4,4.5,5964.444444,,,,79.4,78.1,101.6645327
Italy,2024,1428,105,32.5,76.7,85.1,0.51,,1.5,519,49811,301.6,5.1,5913.72549,,,,79.4,78.1,101.6645327
Jamaica,2015,10,42,53.3,19.2,42.2,,0.43,,298,2123,7.6,2.7,281.4814815,,,,,,
Jamaica,2020,12,39,55.1,19.7,76.4,,0.5,,323,880,6.6,2.3,286.9565217,,,,,,
Jamaica,2024,12,41,55.5,20.1,85.1,,0.44,,356,2478,7,2.5,280,,,,,,
Japan,2015,1318,143,68.4,63.2,91.1,0.83,,3.2,364,19737,1163.3,9.1,12783.51648,,,,,,
Japan,2020,1813,129,68.4,64.6,90.2,0.62,,3.3,470,4116,982.3,7.8,12593.58974,,,,,,
Japan,2024,2228,135,68.4,65.1,84.9,1.2,,3.3,599,3832,1005.1,8.1,12408.64198,,,,,,
Jordan,2015,14,39,1.1,9.4,54.2,,5.61,,102,3761,24.4,2.6,938.4615385,,,,84.1,,
Jordan,2020,33,31,1.1,12.7,78.4,,7.15,0.7,121,1067,20.2,1.8,1122.222222,,,,84.4,,
Jordan,2024,37,30,1.1,12.7,90.5,,7.66,,136,4277,19.7,1.8,1094.444444,,,,84.4,,
Kazakhstan,2015,6812,178,1.2,26.9,70.8,,0.05,0.2,78,6430,239,13.4,1783.58209,,,,85.3,,
Kazakhstan,2020,6650,146,1.3,28.5,85.9,,0.05,0.1,81,2035,209.7,11.1,1889.189189,,,,84.4,,
Kazakhstan,2024,6650,150,1.3,28.5,92.3,0.02,0.03,0.1,95,4729,224,11.7,1914.529915,,,,84.3,,
Kenya,2015,761,20,6.2,34.6,16.6,,3.9,0.7,463,1114,14,0.3,4666.666667,,,,25.7,30.6,83.9869281
Kenya,2020,738,19,6.3,34.6,27.6,,4.03,,549,1364,18.4,0.4,4600,,,,27.3,32.3,84.52012384
Kenya,2024,735,18,6.3,34.6,40.8,,2.92,0.4,724,,17.8,0.3,5933.333333,,,,27.9,33,84.54545455
Kiribati,2015,1,12,1.5,40,14.9,,18.51,,100,4,0.1,0.5,20,19.2,6.1,314.7540984,24.8,21.9,113.2420091
Kiribati,2020,1,13,1.5,40,52.1,,17.22,,108,1,0.1,0.6,16.66666667,20,6.4,312.5,24.4,24.2,100.8264463
Kiribati,2024,1,12,1.5,40,54.4,,,,116,2,0.1,0.6,16.66666667,20.4,6.5,313.8461538,24.6,25.1,98.00796813
Kuwait,2015,7014,364,0.4,42.1,82,,,0.1,42,182,82.4,21.1,390.521327,100,,,100,,
Kuwait,2020,6353,350,0.4,51.6,99.1,,,0.2,57,86,85.4,19.6,435.7142857,100,,,100,,
Kuwait,2024,6218,356,0.4,51.6,99.7,0.11,,0.1,76,85,85.5,20.1,425.3731343,100,,,100,,
Kyrgyzstan,2015,75,28,6.5,23.6,30.2,,12.07,0.1,41,4000,9.8,1.7,576.4705882,90.6,53.7,168.7150838,83.6,95.8,87.2651357
Kyrgyzstan,2020,103,23,6.9,23.6,72,,6.3,0.1,43,2079,7.7,1.2,641.6666667,91.8,67.3,136.4041605,85.8,96.5,88.9119171
Kyrgyzstan,2024,106,26,7,23.6,79.8,,5.78,0.1,62,6901,9.4,1.4,671.4285714,91.8,67.3,136.4041605,86.3,96.5,89.43005181
Lao People's Democratic Republic,2015,162,25,72.7,28.4,18.2,,3.42,,210,3543,8.3,1.2,691.6666667,25.8,11,234.5454545,60.4,50.7,119.1321499
Lao People's Democratic Republic,2020,297,33,71.9,39.7,54,,2.97,,250,812,17.7,2.4,737.5,27,12.4,217.7419355,63.3,59.8,105.8528428
Lao People's Democratic Republic,2024,317,33,71.8,48.7,66.2,,3.25,,323,,17.9,2.4,745.8333333,27,12.4,217.7419355,63.3,59.8,105.8528428
Latvia,2015,98,90,54.5,97.3,79.2,0.08,,0.6,25,2024,6.6,3.3,200,,,,,,
Latvia,2020,113,95,54.8,97.3,88.9,,,0.7,40,636,6.1,3.2,190.625,,,,,,
Latvia,2024,113,100,54.9,97.3,92.2,0.21,,0.7,37,478,6.3,3.4,185.2941176,,,,,,
Lebanon,2015,8,53,13.7,4.4,74,,1.95,,69,1518,23.9,3.7,645.9459459,,,,,,
Lebanon,2020,10,59,14,4.7,87.9,,5.74,,109,414,23.5,4.1,573.1707317,,,,,,
Lebanon,2024,10,48,14.1,4.7,90.1,,7.99,,191,1466,18.9,3.4,555.8823529,,,,,,
Lesotho,2015,21,22,1.1,51.7,25,,3.28,0.1,17,320,2.1,1,210,66.2,7,945.7142857,34,40,85
Lesotho,2020,18,19,1.1,51.7,40.4,,6.81,,19,,2.1,0.9,233.3333333,72.4,9.2,786.9565217,39.4,51,77.25490196
Lesotho,2024,18,25,1.1,51.7,47,,6.3,,20,,3.2,1.4,228.5714286,72.6,9.2,789.1304348,39.4,51,77.25490196
Liberia,2015,76,18,80.7,15.8,10,,37.14,,158,,0.6,0.1,600,,,,,,
Liberia,2020,90,19,79.1,15.8,27.5,,22.6,,218,,0.6,0.1,600,,,,,,
Liberia,2024,93,20,78.8,15.8,30.1,,18.52,,302,,0.6,0.1,600,,,,,,
Libya,2015,1601,147,0.1,0,17.8,,0.32,,54,,53.5,8.6,622.0930233,,,,,,
Libya,2020,1162,69,0.1,0,87.6,,0.56,,75,,28.4,4.3,660.4651163,,,,,,
Libya,2024,2998,104,0.1,0,88.4,,0.81,,95,,43.5,6.5,669.2307692,,,,,,
Liechtenstein,2015,1,88,41.9,80.8,96.6,0.64,,,4,57,0.1,1.4,7.142857143,,,,,,
Liechtenstein,2020,1,87,41.9,80.8,94.3,0.41,,,13,58,0,1.3,0,,,,,,
Liechtenstein,2024,1,91,41.9,80.8,96.8,,,,13,101,0.1,1.4,7.142857143,,,,,,
Lithuania,2015,76,99,34.9,91.5,71.4,0.12,,1,22,2071,10.3,3.5,294.2857143,98.8,,,94.4,80.9,116.6872682
Lithuania,2020,82,110,35.1,91.8,83.1,0.13,,1.1,41,937,10.8,3.8,284.2105263,99.3,,,97.1,88.2,110.0907029
Lithuania,2024,90,115,35.2,91.8,87.7,0.32,,1.1,31,2169,11.2,4,280,99.3,,,97.5,90.5,107.7348066
Luxembourg,2015,6,277,34.5,83.7,96.4,0.95,,1.3,9,1090,8.7,15.4,56.49350649,99.8,98,101.8367347,94.3,86.6,108.891455
Luxembourg,2020,13,231,34.5,84.7,98.5,1.03,,1.1,16,525,7.4,11.7,63.24786325,99.8,96.5,103.4196891,95.8,87.9,108.9874858
Luxembourg,2024,13,239,34.5,84.7,99.3,1.09,,1,19,1013,7.8,12.2,63.93442623,99.8,96.5,103.4196891,96.4,88.5,108.9265537
Madagascar,2015,262,12,21.5,24.6,4.2,,6.19,0,965,244,3.2,0.1,3200,33.6,8.6,390.6976744,13.3,7.2,184.7222222
Madagascar,2020,331,14,21.4,26.6,15.8,,10.11,0,2910,68,3.9,0.1,3900,39,9.3,419.3548387,15.5,9,172.2222222
Madagascar,2024,343,14,21.3,26.6,20.6,,7.46,,3838,8,4.4,0.2,2200,41.3,9.6,430.2083333,16.3,9.7,168.0412371
Malawi,2015,69,5,26,70.8,6,,17.06,,171,805,1,0.1,1000,47.3,7,675.7142857,32.4,31.5,102.8571429
Malawi,2020,70,5,23.8,70.8,22.2,,12.13,,130,199,1.5,0.1,1500,50.9,9.2,553.2608696,38.7,42.8,90.42056075
Malawi,2024,70,5,23.3,70.8,27.7,,9.5,,158,432,1.6,0.1,1600,52.4,10.2,513.7254902,41.2,47.3,87.10359408
Malaysia,2015,3749,110,59.2,37,71.1,,0,1.3,1252,25721,214,6.9,3101.449275,,,,,,
Malaysia,2020,3760,114,58.2,37,89.6,,0,1,1662,4333,227.3,6.8,3342.647059,,,,,,
Malaysia,2024,3904,119,58,37,97.4,,0,,2210,10071,241,7.2,3347.222222,,,,,,
Maldives,2015,0,42,2.7,0,54.5,,0.64,,69,1234,1.3,3,43.33333333,,,,,,
Maldives,2020,0,47,2.7,0,79.1,,9.06,,80,555,1.7,3.4,50,,,,,,
Maldives,2024,0,54,2.7,0,83.9,,2.54,,97,1675,2,3.9,51.28205128,,,,,,
Mali,2015,177,12,10.9,61.6,10.3,,9.38,0.3,39,159,3.2,0.2,1600,,,,6.9,15.9,43.39622642
Mali,2020,212,14,10.9,61.6,28.3,,9.36,0.2,62,75,5.9,0.3,1966.666667,,,,7.3,20.8,35.09615385
Mali,2024,213,14,10.9,61.6,33.1,,7.74,0.2,73,168,6.3,0.3,2100,,,,7.5,22.9,32.7510917
Malta,2015,1,59,1.1,90.6,76,0.2,,0.7,31,1783,1.6,3.6,44.44444444,,,,,,
Malta,2020,1,56,1.4,90.9,86.9,,,0.7,49,659,1.6,3.1,51.61290323,,,,,,
Malta,2024,1,56,1.4,90.9,91.5,0.28,,0.7,70,2287,1.6,3.1,51.61290323,,,,,,
Marshall Islands,2015,0,45,52.2,10.1,19.3,,23.01,,95,6,0.1,3,3.333333333,,,,,,
Marshall Islands,2020,0,52,52.2,10.1,71.2,,61.44,,104,1,0.2,3.5,5.714285714,,,,,,
Marshall Islands,2024,0,54,52.2,10.1,73.2,,35.24,,114,0,0.2,3.6,5.555555556,,,,,,
Martinique,2015,1,75,48.4,97.2,,,,,45,487,2.1,5.3,39.62264151,,,,,,
Martinique,2020,,,49.3,97.2,,,,,62,312,,,,,,,,,
Martinique,2024,,,49.5,97.2,,,,,106,556,,,,,,,,,
Mauritania,2015,30,15,0.3,11.2,17.6,,5.5,,69,,3,0.8,375,,,,,,
Mauritania,2020,22,20,0.3,11.2,41.1,,8.27,0,94,,4.9,1.1,445.4545455,,,,,,
Mauritania,2024,22,19,0.3,11.2,44.4,,5.27,,133,,4.6,1,460,,,,,,
Mauritius,2015,12,52,19.2,9.6,50.1,,0.62,0.2,249,1151,4.3,3.3,130.3030303,,,,,,
Mauritius,2020,8,44,19.4,9.6,67.7,,2.81,0.4,272,309,3.9,3,130,,,,,,
Mauritius,2024,8,45,19.4,9.6,75.5,,2.29,0.3,294,997,4.1,3.1,132.2580645,,,,,,
Mayotte,2015,0,20,37.8,63.2,,,,,84,,0.3,1.3,23.07692308,,,,,,
Mayotte,2020,,,37.1,63.6,,,,,102,,,,,,,,,,
Mayotte,2024,,,37,76.3,,,,,130,,,,,,,,,,
Mexico,2015,8031,65,34.1,36.2,57.4,,0.03,0.4,1109,32093,454,3.8,11947.36842,,,,47.4,,
Mexico,2020,6489,58,33.8,38.1,71.5,,0.08,0.3,1656,24824,402.8,3.2,12587.5,,,,60,,
Mexico,2024,6498,59,33.7,38.4,78.6,,0.04,0.3,2605,38326,421.7,3.3,12778.78788,,,,65.1,,
Micronesia (Federated States of),2015,0,19,91.8,0,,,21.7,,163,31,0.1,1.3,7.692307692,,,,,,
Micronesia (Federated States of),2020,0,19,92,0,,,37.89,,170,18,0.1,1.3,7.692307692,,,,,,
Micronesia (Federated States of),2024,0,19,92.1,0,,,29.38,,197,,0.1,1.3,7.692307692,,,,,,
Monaco,2015,,,0,,93.4,,,,16,331,,,,100,,,100,,
Monaco,2020,,,0,,98.6,,,,34,159,,,,100,,,100,,
Monaco,2024,,,0,,98.4,,,,50,327,,,,100,,,100,,
Mongolia,2015,655,92,9.1,40.7,22.5,,2.22,0.2,36,386,24,8.1,296.2962963,44.6,7.9,564.556962,66.1,44.5,148.5393258
Mongolia,2020,1172,130,9.1,45.2,62.5,,5.83,0.1,43,59,38.1,11.6,328.4482759,49.3,11.2,440.1785714,70.2,54.1,129.7597043
Mongolia,2024,885,144,9.1,45.2,83.9,,2.17,0.1,38,286,43,12.9,333.3333333,51.3,12.7,403.9370079,70.3,56.3,124.8667851
Montenegro,2015,30,67,61.5,18.8,68.1,,2.41,0.4,85,1560,2.3,3.7,62.16216216,87.2,,,46.3,39.2,118.1122449
Montenegro,2020,31,70,61.5,27,77.6,,4.22,0.4,113,351,2.5,4,62.5,87.3,,,59.1,41.7,141.7266187
Montenegro,2024,32,73,61.5,27,88.2,,2.25,,169,2036,2.5,4,62.5,87.3,,,64.1,43.1,148.7238979
Montserrat,2015,,146,25,30.6,54.6,,,,54,9,0.1,10.5,0.952380952,,,,,,
Montserrat,2020,0,77,25,30.6,,,,,62,4,0,5.4,0,,,,,,
Montserrat,2024,0,82,25,30.6,,,,,88,2,0,5.7,0,,,,,,
Morocco,2015,62,23,12.7,34.5,57.1,,1.53,0.7,176,10177,54.5,1.6,3406.25,89.3,35.6,250.8426966,33.7,,
Morocco,2020,102,24,12.9,59.5,84.1,,1.62,,238,2778,61.8,1.7,3635.294118,90.1,45.7,197.1553611,34.4,,
Morocco,2024,108,26,12.9,59.5,90.7,,0.74,,285,10869,67.1,1.8,3727.777778,90.3,46.7,193.3618844,34.4,,
Mozambique,2015,702,16,48.2,41.2,6.5,,11.62,0.3,268,1552,6.3,0.2,3150,,,,,14.2,
Mozambique,2020,733,14,46.7,41.2,17.8,,18.6,,426,952,5.4,0.2,2700,,,,,19.2,
Mozambique,2024,834,15,46.4,41.2,21.2,,14.49,,559,492,6.9,0.2,3450,,,,,20.9,
Myanmar,2015,1098,15,45.9,20.9,10.9,,1.93,,301,4681,21.6,0.4,5400,70.4,41.4,170.0483092,57.1,62.6,91.21405751
Myanmar,2020,1067,16,43.7,22.3,48.1,,3.76,0.1,357,903,32.9,0.6,5483.333333,72.1,49.9,144.488978,53.4,64,83.4375
Myanmar,2024,1110,15,43.3,22.3,,,2.38,0,517,233,27.7,0.5,5540,72.4,50.4,143.6507937,52.7,64.3,81.95956454
Namibia,2015,21,35,8.5,86.2,25.7,,1.26,0.3,105,1388,3.7,1.6,231.25,,,,,,
Namibia,2020,29,32,8.1,86.2,57.9,,1.71,,117,170,3.5,1.4,250,,,,,,
Namibia,2024,28,31,8,86.2,62.2,,1.52,,172,461,3.5,1.4,250,,,,,,
Nauru,2015,0,68,0,0,54,,26.48,,80,,0.1,5,2,,,,,,
Nauru,2020,0,61,0,0,81.7,,15.96,,86,,0.1,4.4,2.272727273,,,,,,
Nauru,2024,0,63,0,0,82.7,,15.28,,96,,0.1,4.6,2.173913043,,,,,,
Nepal,2015,416,18,41.6,51.7,17.6,,4.96,0.3,105,539,5.6,0.2,2800,33,23.8,138.6554622,35.4,37.6,94.14893617
Nepal,2020,453,21,41.6,51.7,37.7,,5.2,,109,230,12.9,0.4,3225,24.8,15.9,155.9748428,43,49.7,86.51911469
Nepal,2024,476,21,41.6,51.7,49.6,,4.38,,130,615,12.6,0.4,3150,23.2,14.2,163.3802817,44.6,52.2,85.44061303
Netherlands (Kingdom of the),2015,2016,176,10.8,76.3,91.7,8.91,,2.1,29,15007,151.7,8.9,1704.494382,,,,97.5,97.5,100
Netherlands (Kingdom of the),2020,1138,166,11,79.7,91.3,1.46,,2.3,71,7265,127.1,7.3,1741.09589,,,,97.5,97.5,100
Netherlands (Kingdom of the),2024,1097,169,11,79.7,92.5,0.66,,2.3,61,16063,132.7,7.6,1746.052632,,,,97.5,97.5,100
New Caledonia,2015,2,217,45.9,37.8,74,,,,493,114,4.4,15.4,28.57142857,,,,,,
New Caledonia,2020,2,219,45.8,42.2,82,,,,759,31,4.5,15.8,28.48101266,,,,,,
New Caledonia,2024,3,197,45.8,42.2,,,,,1000,79,4,13.9,28.77697842,,,,,,
New Zealand,2015,790,210,37.4,46.2,85.2,0.37,,1.2,197,3039,32.3,7,461.4285714,,,,,,
New Zealand,2020,727,185,37.6,46.2,95.2,0.34,,1.4,261,948,31,6.1,508.1967213,,,,,,
New Zealand,2024,705,184,37.6,46.2,95.7,0.31,,1.5,266,1389,31.8,6.2,512.9032258,,,,,,
Nicaragua,2015,88,26,32.5,68.7,19.7,,3.73,0.1,141,1386,5.2,0.8,650,67.2,38.6,174.0932642,,,
Nicaragua,2020,94,24,28.3,68.7,54.9,,3.92,,161,384,4.5,0.7,642.8571429,67.3,38.5,174.8051948,,,
Nicaragua,2024,95,25,27.5,68.7,61.1,,5.71,,310,818,5,0.7,714.2857143,,,,,,
Niger,2015,100,5,0.9,23.4,2.5,,8.56,,31,135,2.1,0.1,2100,,,,17.4,4.4,395.4545455
Niger,2020,115,4,0.9,54.7,13.8,,14.67,,37,85,2.4,0.1,2400,,,,19.8,5.2,380.7692308
Niger,2024,116,4,0.8,54.7,16.9,,11.9,,44,,2.6,0.1,2600,,,,20.6,5.6,367.8571429
Nigeria,2015,10738,33,24.6,79.9,22.5,,0.51,,333,1255,91.2,0.5,18240,33.9,16.8,201.7857143,30,25.2,119.047619
Nigeria,2020,10021,32,23.7,79.9,31.9,,0.81,0.3,380,502,103.8,0.5,20760,35.2,19.9,176.8844221,34.7,26.2,132.4427481
Nigeria,2024,9637,32,23.6,79.9,35.5,,0.83,,467,528,108.7,0.5,21740,35.7,21.2,168.3962264,36.6,26.6,137.593985
Niue,2015,0,47,72.4,95.3,79.6,,,,50,8,0,3.4,0,,,,,,
Niue,2020,0,47,72.6,95.3,,,,,56,1,0,3.3,0,,,,,,
Niue,2024,0,48,72.6,95.3,,,,,66,0,0,3.4,0,,,,,,
North Macedonia,2015,58,55,39.4,24.4,70.4,,2.2,0.4,100,486,7,3.3,212.1212121,84.7,74.6,113.538874,8.7,17.6,49.43181818
North Macedonia,2020,50,55,39.7,27.1,81.4,,2.43,0.4,133,118,7.2,3.4,211.7647059,84.6,74.4,113.7096774,8.2,17.9,45.81005587
North Macedonia,2024,41,55,39.7,30,84.2,,2.56,0.4,142,537,6.7,3.2,209.375,84.6,74.4,113.7096774,8.2,18,45.55555556
Northern Mariana Islands,2015,,151,64.1,40.6,,,,,99,479,0.6,11.1,5.405405405,,,,,,
Northern Mariana Islands,2020,0,110,53,40.6,,,,,105,89,0.4,8.1,4.938271605,,,,,,
Northern Mariana Islands,2024,0,120,53,40.6,,,,,111,97,0.4,8.8,4.545454545,,,,,,
Norway,2015,8814,205,33.2,54.5,96.8,1.12,,1.9,44,5361,29.3,5.6,523.2142857,,,,,,
Norway,2020,8733,213,33.4,56.8,94.6,1.11,,2.2,115,1397,33.5,6.2,540.3225806,,,,,,
Norway,2024,8954,220,33.5,56.8,99,1.58,,1.9,89,4979,34.3,6.4,535.9375,,,,,,
Oman,2015,3228,262,0,22.5,73.5,,0.04,0.2,90,1909,59.2,14.1,419.858156,,,,,,
Oman,2020,3341,248,0,22.9,95.2,,,0.3,112,622,56.5,12.4,455.6451613,,,,,,
Oman,2024,3505,275,0,27.2,97.8,,,0.3,154,2059,60.6,13.4,452.238806,,,,,,
Pakistan,2015,2273,15,5.1,34.8,11,,1.42,0.2,129,966,133.2,0.6,22200,52.7,38.3,137.5979112,,28.3,
Pakistan,2020,2205,18,4.8,34.8,18.9,,0.88,0.2,155,,208.5,0.9,23166.66667,55.6,44.4,125.2252252,,36.8,
Pakistan,2024,2429,19,4.8,34.8,32.9,,0.85,0.2,238,,224.6,1,22460,56.8,46.9,121.108742,,40.2,
Palau,2015,0,159,89.1,48.1,,,4.61,,177,162,0.2,11.7,1.709401709,88.9,56.5,157.3451327,,,
Palau,2020,0,164,90,48.1,,,25.28,,189,18,0.2,12,1.666666667,95.2,57.2,166.4335664,,,
Palau,2024,0,163,90.2,48.1,,,,,210,,0.2,12,1.666666667,97.7,57.5,169.9130435,,,
Panama,2015,36,43,57.6,54.3,51.2,,0.02,0.1,373,2110,10.1,2.6,388.4615385,,,,28.6,,
Panama,2020,42,31,56.8,54.9,72.6,,0.28,0.2,400,414,6.8,1.6,425,,,,46.3,,
Panama,2024,46,42,56.7,54.9,73.6,,0.15,0.2,585,1488,10.2,2.3,443.4782609,,,,50,,
Papua New Guinea,2015,543,20,79.5,7.2,7.9,,2.77,,478,183,6.3,0.7,900,,,,29.1,,
Papua New Guinea,2020,596,21,79.2,7.3,24.4,,4.33,0,585,39,7.8,0.8,975,,,,28.3,,
Papua New Guinea,2024,598,21,79.1,7.3,27,,4.57,,1201,67,8.1,0.8,1012.5,,,,28.3,,
Paraguay,2015,327,42,44,36.3,49.7,,0.17,0.1,58,1215,5.8,0.9,644.4444444,71.4,46.8,152.5641026,52.3,50.8,102.9527559
Paraguay,2020,293,44,40.5,36.3,74,,0.89,0.2,67,252,7.3,1.1,663.6363636,72.2,50.7,142.4063116,53,56.7,93.47442681
Paraguay,2024,273,45,39.8,36.3,76.3,,0.46,0.1,100,579,8,1.2,666.6666667,72.2,50.7,142.4063116,53,59,89.83050847
Peru,2015,953,29,57.2,27.3,40.9,,0.18,0.1,643,3456,44.4,1.4,3171.428571,58.7,20.1,292.039801,44,,
Peru,2020,891,27,56.5,28.2,65.3,,0.25,0.2,819,897,42.5,1.3,3269.230769,59.5,22.2,268.018018,56.5,,
Peru,2024,913,29,56.4,28.8,74.7,,0.15,0.2,1165,2009,46.1,1.4,3292.857143,59.8,23,260,61.6,,
Philippines,2015,1092,21,23.5,26.9,36.9,,0.15,0.2,767,5361,104.8,1,10480,61.2,33.5,182.6865672,52.1,58.9,88.45500849
Philippines,2020,1229,21,24.1,42.8,53.8,,0.37,0.3,884,1483,126.5,1.1,11500,61.7,34.5,178.8405797,55,65.9,83.45978756
Philippines,2024,1256,22,24.2,42.8,72.3,,0.4,,1776,2654,134.2,1.2,11183.33333,61.9,35,176.8571429,56.2,68.8,81.68604651
Poland,2015,2843,104,30.8,88.7,68,0.11,,1,51,16728,280.1,7.3,3836.986301,,,,,,
Poland,2020,2423,112,31,88.7,83.2,0.17,,1.4,95,8418,274.3,7.1,3863.380282,,,,,,
Poland,2024,2507,119,31,88.7,86.9,0.53,,1.4,87,15948,301.8,7.9,3820.253165,,,,,,
Portugal,2015,222,89,36.2,77,68.6,0.27,,1.2,256,11723,47,4.5,1044.444444,97.1,90.3,107.530454,87,74.9,116.1548732
Portugal,2020,254,82,36.2,77.3,78.3,0.2,,1.6,465,4208,37.1,3.6,1030.555556,97.1,90.9,106.8206821,95.5,84.5,113.0177515
Portugal,2024,259,82,36.2,77.3,84.5,0.52,,1.7,526,16308,34.7,3.4,1020.588235,97.1,91.2,106.4692982,95.9,86.3,111.1239861
Puerto Rico,2015,1,16,55.7,33,63.5,,,0.4,127,3542,3.1,0.9,344.4444444,,,,,,
Puerto Rico,2020,2,16,56,33,77.7,,,,146,2617,2.8,0.8,350,,,,,,
Puerto Rico,2024,2,22,56,33,84.8,,,,197,3273,3.9,1.2,325,,,,,,
Qatar,2015,9402,640,0,60,92.9,,,0.5,35,2941,70.2,29.1,241.2371134,,,,,,
Qatar,2020,9216,635,0,60,99.7,,,0.5,50,582,78.9,28.6,275.8741259,,,,,,
Qatar,2024,9138,665,0,60,100,0.37,,0.7,76,2560,79.6,29.6,268.9189189,,,,,,
Republic of Korea,2015,2123,224,65,36.4,89.9,0.89,,4,76,13232,581.4,11.4,5100,,,,,,
Republic of Korea,2020,2169,223,64.4,37.6,96.5,0.74,,4.8,136,2519,565.8,10.9,5190.825688,,,,,,
Republic of Korea,2024,2155,236,64.3,37.6,97.2,0.92,,4.9,199,3198,602.4,11.6,5193.103448,,,,,,
Republic of Moldova,2015,28,33,11.8,71.6,69,,3.82,0.3,29,94,4.5,1.4,321.4285714,,,,79.8,,
Republic of Moldova,2020,29,37,11.8,78.4,58.2,,4.28,0.2,33,29,4.8,1.5,320,,,,83.3,,
Republic of Moldova,2024,32,41,11.7,78.4,63.5,,4.24,0.2,37,162,5.4,1.8,300,,,,84.6,,
Romania,2015,1116,67,30,75.9,55.8,0.07,,0.5,85,9331,68.9,3.5,1968.571429,95,66.7,142.4287856,,,
Romania,2020,941,70,30.1,76,78.5,,,0.5,140,5023,63.3,3.3,1918.181818,95,66.7,142.4287856,,,
