Employment in agriculture (% of employed),Employment in services (% employed),Economy: Agriculture (% of Gross Value Added),"Fertility rate, total (live births per woman)",Education: Upper Sec. gross enrol. ratio - Male (per 100 pop.),Education: Upper Sec. gross enrol. ratio - Female (per 100 pop.),Under five mortality rate (per 1000 live births),Economy: Services and other activity (% of GVA),Population growth rate (average annual %),Employment in industry (% of employed),gdp_class
9.7,59.9,8.6,1.5,75.0,76.4,6.9,65.7,0.5,30.4,1.0
2.0,77.9,1.7,1.7,130.7,123.0,2.9,62.9,0.9,20.1,3.0
2.1,78.4,2.1,1.5,141.3,128.6,2.1,67.5,0.4,19.5,3.0
2.2,78.5,1.7,1.4,140.9,129.6,2.1,45.6,1.0,19.3,3.0
5.3,57.4,1.6,3.0,98.9,98.1,11.2,47.8,5.1,37.3,2.0
5.2,48.0,2.4,2.6,92.7,90.7,10.7,52.6,2.2,46.8,2.0
6.1,47.0,2.1,2.5,100.3,96.7,10.1,50.1,4.4,46.9,3.0
41.0,35.0,24.5,4.0,32.6,24.4,76.2,55.5,1.4,24.0,0.0
38.0,37.2,23.2,3.8,35.6,29.7,65.2,57.0,1.9,24.8,0.0
36.4,38.1,23.8,3.5,37.8,31.1,58.1,55.1,1.5,25.5,0.0
14.7,66.6,3.0,2.5,56.3,64.2,17.1,69.2,1.7,18.7,2.0
14.1,67.5,3.0,2.2,55.0,62.9,12.8,73.1,1.2,18.5,2.0
15.3,68.0,2.7,2.1,67.1,74.2,13.2,70.3,1.2,16.7,2.0
21.7,68.9,18.3,3.6,23.4,16.8,51.5,45.3,2.5,9.4,1.0
19.3,69.7,19.6,3.3,21.4,15.0,44.2,45.9,2.0,11.0,1.0
21.8,58.6,10.2,2.6,63.9,69.9,22.1,52.5,1.5,19.5,1.0
21.3,59.6,11.5,2.5,77.2,87.2,18.7,51.7,1.4,19.1,1.0
17.4,63.8,11.8,2.4,68.0,73.8,19.3,52.0,1.2,18.7,1.0
27.0,55.6,7.7,2.2,95.1,91.6,17.3,59.1,1.2,17.4,1.0
33.7,50.5,8.3,2.1,96.8,97.4,15.7,58.9,1.1,15.9,1.0
25.7,56.8,8.6,2.0,89.5,87.8,12.8,54.2,1.1,17.5,2.0
29.2,54.6,11.0,2.8,73.6,82.1,28.4,58.5,1.4,16.2,1.0
24.8,56.9,10.2,2.1,70.2,81.0,28.1,61.4,1.1,18.3,1.0
23.7,57.4,9.5,1.9,80.5,95.1,26.5,61.2,0.8,18.9,1.0
11.5,57.9,2.8,1.3,119.8,115.8,4.8,62.1,0.0,30.5,2.0
9.6,58.7,2.9,1.4,114.7,113.6,4.1,64.9,0.3,31.7,2.0
8.3,60.9,3.2,1.3,113.3,111.3,3.8,65.3,0.9,30.8,2.0
7.5,68.1,2.4,1.3,117.0,117.8,3.6,75.2,0.2,24.3,2.0
5.4,69.9,2.5,1.4,121.1,124.7,3.0,75.3,0.2,24.8,3.0
5.0,71.0,2.1,1.5,121.2,125.7,3.0,76.4,0.1,24.0,3.0
1.4,84.8,0.8,1.4,90.4,95.7,7.4,48.0,1.3,13.7,3.0
1.3,85.9,0.7,0.9,87.2,91.5,6.2,49.3,0.7,12.8,3.0
1.2,44.6,0.2,2.0,102.1,106.2,7.6,44.4,8.3,54.1,3.0
1.4,54.3,0.3,1.7,113.0,109.6,5.9,50.0,0.9,44.3,3.0
5.2,69.4,2.2,1.2,96.4,96.2,3.5,60.6,0.8,25.4,3.0
5.4,70.0,1.9,0.8,97.6,96.1,3.0,62.4,0.1,24.6,3.0
5.4,70.1,1.8,0.7,96.7,95.7,2.6,63.5,0.1,24.5,3.0
59.6,29.9,14.7,1.9,101.2,105.6,15.7,61.1,1.6,10.5,1.0
57.8,30.8,10.8,1.8,78.4,80.6,14.5,62.5,1.4,11.4,1.0
55.4,31.9,9.2,1.7,82.6,83.7,11.8,67.5,1.2,12.7,1.0
25.6,46.0,5.0,1.6,94.0,85.9,9.2,59.9,0.5,28.5,2.0
20.5,49.8,4.6,1.7,92.3,84.0,6.7,66.1,0.6,29.7,2.0
18.0,49.2,4.9,1.7,87.2,89.8,6.3,63.3,0.6,32.8,2.0
6.7,66.1,4.3,1.8,112.8,102.0,8.1,62.5,0.3,27.2,2.0
6.0,67.5,4.4,1.5,47.0,54.4,5.7,62.6,0.2,26.5,2.0
5.7,67.8,4.3,1.5,43.3,48.4,5.3,59.5,0.5,26.6,2.0
63.6,26.9,26.3,4.1,32.5,32.0,47.5,54.5,2.4,9.5,0.0
50.1,32.6,29.0,3.9,29.7,31.0,40.7,50.7,2.2,17.2,0.0
56.0,29.6,26.9,3.6,25.9,29.5,35.4,50.2,2.1,14.4,0.0
11.0,72.1,2.5,1.5,85.5,89.2,17.8,85.0,0.4,16.9,2.0
7.6,79.4,2.5,1.4,89.7,87.6,17.5,82.8,0.3,13.0,2.0
10.5,72.7,1.8,1.4,83.7,89.8,16.6,86.6,0.2,16.8,2.0
11.2,69.1,7.3,2.1,89.5,104.6,18.1,75.3,0.5,19.7,2.0
10.2,70.2,10.2,1.8,106.5,119.1,17.7,74.9,0.5,19.6,2.0
9.7,70.4,5.6,1.8,105.7,128.1,14.2,76.8,0.7,19.9,2.0
24.9,59.9,9.2,4.3,71.5,83.0,18.5,74.6,0.9,15.3,1.0
20.9,63.1,11.0,4.0,72.3,81.9,17.5,76.6,1.0,16.0,1.0
0.3,65.4,0.0,1.2,95.8,94.0,2.0,64.9,0.8,34.3,3.0
19.5,61.1,12.2,4.4,56.4,62.7,23.3,72.1,1.7,19.3,0.0
17.8,62.5,14.3,3.8,64.4,76.7,16.2,72.2,2.2,19.8,0.0
5.9,70.3,2.8,2.6,101.3,98.7,9.1,52.1,3.3,23.8,2.0
3.2,73.9,3.1,2.3,106.4,104.2,7.0,55.7,1.2,22.9,2.0
2.9,80.2,2.5,2.3,133.5,133.2,7.4,41.3,1.8,16.9,3.0
31.3,50.3,16.0,4.8,38.0,33.3,51.0,57.6,3.0,18.4,0.0
23.0,55.4,18.0,4.0,34.4,37.1,40.2,56.2,2.6,21.6,0.0
21.5,55.8,18.2,3.8,32.8,39.0,34.2,56.5,2.3,22.6,0.0
19.4,56.1,8.1,1.5,91.2,94.6,6.3,61.0,0.7,24.5,1.0
14.6,57.5,7.6,1.5,86.7,89.4,5.6,62.4,0.9,27.9,2.0
13.6,57.4,7.7,1.5,84.6,88.7,4.7,61.9,0.7,29.1,2.0
3.6,78.2,2.5,2.2,50.1,58.9,14.5,80.5,2.4,17.9,2.0
55.9,37.3,60.5,4.5,27.9,22.3,132.9,34.9,2.3,6.7,0.0
44.6,43.8,62.2,4.1,44.7,43.9,108.4,32.4,2.3,11.6,0.0
43.3,44.6,60.0,3.7,55.2,55.6,95.7,33.1,2.1,12.0,0.0
0.2,82.5,0.0,1.0,111.2,109.6,2.7,74.2,1.2,17.2,3.0
0.1,85.0,0.0,0.9,107.3,105.7,2.7,75.5,2.2,14.8,3.0
0.1,85.7,0.0,1.0,106.2,105.6,2.2,74.6,0.7,14.2,3.0
3.2,60.7,2.4,1.4,85.0,88.6,6.4,63.6,0.1,36.1,2.0
2.6,60.9,1.9,1.6,84.3,88.7,6.0,66.7,0.0,36.6,2.0
2.5,61.6,2.5,1.6,85.1,88.9,4.8,65.6,0.5,35.9,2.0
7.1,60.9,2.4,1.6,117.2,118.4,2.3,65.2,0.1,32.0,3.0
4.1,61.9,2.4,1.6,118.5,121.6,2.4,64.6,1.1,34.0,3.0
4.3,65.5,2.1,1.6,115.4,118.3,1.8,65.9,0.0,30.2,3.0
40.4,49.9,33.3,4.3,30.8,26.3,23.0,51.2,3.6,9.7,0.0
15.4,63.2,2.5,2.4,110.6,109.4,39.1,71.2,2.3,21.4,1.0
21.4,61.0,2.9,2.3,101.1,119.3,29.3,71.4,1.6,17.6,1.0
19.3,62.7,3.2,2.2,105.8,124.7,31.2,69.4,1.2,18.1,2.0
60.4,25.2,4.2,4.7,8.4,3.8,244.7,50.9,0.1,14.5,0.0
61.0,25.5,6.0,4.2,11.3,6.4,99.1,54.4,2.6,13.4,0.0
4.1,76.0,3.0,1.3,127.8,132.5,3.1,74.9,0.0,19.9,3.0
4.0,75.5,3.1,1.2,117.9,126.8,3.0,74.9,0.2,20.5,3.0
3.8,76.1,2.6,1.2,122.3,132.0,2.9,74.6,0.0,20.1,3.0
28.7,45.6,8.9,2.1,89.3,99.4,8.8,58.9,0.8,25.8,1.0
27.1,46.0,8.7,2.0,90.7,102.8,7.0,61.3,0.7,26.9,1.0
26.4,46.5,9.2,2.0,81.1,89.0,6.2,59.0,0.6,27.0,1.0
8.7,62.6,8.7,4.0,63.3,80.3,18.6,72.1,2.4,28.7,1.0
6.4,63.0,8.4,3.5,69.6,85.7,15.2,71.5,2.3,30.6,1.0
6.2,61.2,8.0,3.2,71.0,88.0,27.5,71.2,1.6,32.6,1.0
42.7,42.5,32.0,4.9,39.7,41.9,64.8,51.8,3.0,14.8,0.0
41.1,44.5,20.4,4.5,39.4,42.3,55.3,58.4,2.6,14.3,0.0
7.2,65.6,11.3,2.6,36.6,62.3,20.4,59.1,1.1,27.2,2.0
7.5,66.0,8.3,2.2,34.9,47.6,12.4,45.8,0.8,26.4,1.0
2.0,79.7,1.6,1.8,148.5,179.7,2.9,73.4,1.1,18.3,3.0
1.7,80.0,1.5,1.7,151.1,173.8,2.8,74.2,0.5,18.3,3.0
1.9,80.9,1.6,1.4,153.0,185.0,2.4,71.5,0.5,17.2,3.0
3.4,75.9,0.6,1.5,104.2,98.8,4.6,74.4,1.1,20.7,3.0
2.5,77.1,0.7,1.5,108.5,100.8,4.2,73.8,0.7,20.4,3.0
2.3,77.4,0.6,1.4,106.9,100.5,3.6,73.8,0.5,20.3,3.0
16.6,60.1,33.1,3.1,29.5,32.3,38.2,51.4,3.0,23.3,0.0
16.1,61.6,36.6,2.8,24.6,28.1,22.3,41.1,2.8,22.3,0.0
15.5,61.8,35.1,2.7,25.6,31.2,21.4,42.6,4.0,22.7,0.0
48.4,33.8,23.9,3.5,79.4,57.2,37.8,45.3,2.6,17.8,0.0
32.3,43.9,8.9,1.5,127.3,127.8,10.4,54.9,0.4,23.7,1.0
31.4,46.0,8.7,1.3,93.2,101.3,8.7,58.0,0.2,22.6,2.0
30.4,47.3,8.8,1.2,108.7,107.5,10.0,56.2,0.1,22.2,2.0
52.9,35.5,17.8,3.8,58.3,62.9,60.9,63.8,1.9,11.5,0.0
42.5,45.4,13.4,3.0,70.6,84.1,51.8,49.2,1.9,12.2,0.0
31.8,48.4,21.3,4.4,48.6,34.6,64.4,56.8,2.4,19.8,0.0
30.8,49.2,20.6,4.1,47.4,35.6,57.3,56.7,2.2,20.0,0.0
31.5,42.0,19.7,3.5,65.4,76.1,12.4,62.3,0.5,26.5,1.0
28.8,44.3,21.3,3.2,59.7,70.4,11.4,61.0,0.0,26.9,1.0
26.9,45.5,21.6,3.1,63.2,88.0,10.3,60.1,0.4,27.6,1.0
3.1,71.0,1.9,1.6,81.2,91.0,16.9,65.7,0.4,26.0,2.0
3.0,70.3,1.1,1.5,80.0,89.8,15.8,48.9,0.3,26.7,2.0
14.8,52.1,9.9,2.3,66.6,78.4,17.3,63.3,1.1,33.1,1.0
14.5,52.2,11.3,2.0,69.9,87.4,13.3,65.3,0.8,33.3,1.0
23.4,43.1,11.2,2.8,81.0,81.5,41.8,43.4,2.1,33.5,2.0
22.7,43.6,11.1,2.7,41.1,40.9,35.8,44.6,1.7,33.7,2.0
20.4,52.4,7.8,2.2,109.8,104.8,13.4,60.6,2.5,27.2,2.0
17.6,56.2,7.5,1.8,118.2,110.8,10.6,61.0,0.8,26.2,2.0
16.7,55.6,7.2,1.6,130.5,124.7,11.3,57.8,0.2,27.7,2.0
67.9,25.0,26.6,4.6,11.9,7.6,43.5,44.9,3.2,7.1,0.0
15.3,60.1,14.2,1.4,89.8,83.2,8.9,60.2,0.4,24.7,0.0
15.3,60.9,10.8,1.2,80.9,79.0,7.1,64.9,0.7,23.9,1.0
15.1,60.8,9.3,1.0,79.8,78.5,6.1,68.9,2.2,24.1,1.0
1.8,70.6,1.0,1.3,138.9,131.6,6.5,56.9,1.9,27.6,3.0
1.1,80.2,0.7,1.8,131.2,140.6,4.5,79.0,0.8,18.7,3.0
1.0,80.8,0.7,1.6,113.3,120.0,4.2,80.0,0.2,18.2,3.0
1.0,80.9,0.9,1.6,109.7,116.3,4.2,80.8,0.6,18.1,3.0
67.6,25.9,29.2,5.0,7.9,4.9,54.5,44.1,3.4,6.5,0.0
65.8,26.2,28.6,4.8,6.9,5.3,43.9,39.9,3.0,8.0,0.0
65.5,26.0,28.4,4.5,6.8,5.1,38.0,38.2,2.9,8.5,0.0
1.8,78.7,1.0,1.8,93.9,95.6,6.9,80.1,0.9,19.6,3.0
1.7,78.8,0.8,1.6,99.0,97.1,6.2,81.9,0.2,19.4,3.0
1.6,79.1,1.1,1.6,93.1,97.6,5.9,80.7,0.5,19.3,3.0
8.8,70.7,7.7,2.0,79.5,104.1,9.0,70.3,0.4,20.5,2.0
8.0,73.8,7.4,1.5,108.9,131.7,6.7,72.8,0.1,18.2,2.0
8.4,73.6,8.0,1.4,112.4,136.8,7.0,71.6,0.1,18.1,3.0
27.5,49.6,31.8,2.6,91.3,90.6,20.1,43.7,1.7,22.9,1.0
26.9,49.4,26.8,3.1,76.9,79.2,15.0,39.7,1.9,23.7,0.0
25.9,49.9,25.2,3.5,67.3,65.5,14.8,41.5,1.9,24.2,1.0
56.3,36.6,23.1,4.0,33.9,33.7,21.5,65.4,2.2,7.1,1.0
44.7,44.7,24.4,3.7,28.0,34.8,19.2,64.6,2.4,10.7,1.0
42.3,46.4,23.6,3.6,82.1,77.8,17.0,65.8,2.3,11.2,1.0
6.3,72.4,4.6,2.3,72.3,84.3,18.3,46.3,1.0,21.3,2.0
11.5,70.2,5.2,2.1,70.5,82.1,18.8,46.3,1.0,18.2,1.0
44.0,33.2,15.9,2.1,95.3,71.8,22.1,46.4,1.2,22.7,1.0
32.6,36.3,13.9,2.0,89.9,81.6,21.0,45.9,0.9,31.1,1.0
33.6,35.8,13.0,1.9,89.4,86.3,19.7,45.2,0.6,30.6,1.0
30.2,57.1,18.2,4.6,43.5,29.4,49.8,61.7,3.0,12.8,0.0
30.1,58.5,19.6,4.6,44.9,31.7,43.4,59.5,2.7,11.4,0.0
66.3,25.8,9.3,3.9,45.2,39.1,60.8,65.7,1.3,7.9,0.0
