"Fertility rate, total (live births per woman)",Under five mortality rate (per 1000 live births),Economy: Services and other activity (% of GVA),Population growth rate (average annual %),Economy: Agriculture (% of Gross Value Added),gdp_class
2.3,17.3,63.3,1.1,9.9,1.0
2.0,13.3,65.3,0.8,11.3,1.0
1.8,11.5,64.7,0.6,10.5,1.0
3.0,42.6,35.5,2.3,9.4,1.0
2.8,41.8,43.4,2.1,11.2,2.0
2.7,35.8,44.6,1.7,11.1,2.0
1.7,6.9,88.3,5.1,0.6,3.0
1.6,6.2,81.9,1.9,0.5,3.0
1.5,5.6,84.3,0.7,0.4,3.0
3.3,26.0,73.7,0.2,13.9,1.0
3.3,21.8,75.4,1.8,9.1,1.0
3.2,19.3,73.6,1.7,9.0,1.0
2.2,13.4,60.6,2.5,7.8,2.0
1.8,10.6,61.0,0.8,7.5,2.0
1.6,11.3,57.8,0.2,7.2,2.0
5.3,55.8,47.3,3.1,23.3,0.0
4.6,43.5,44.9,3.2,26.6,0.0
4.2,37.7,44.7,2.7,27.1,0.0
1.4,8.9,60.2,0.4,14.2,0.0
1.2,7.1,64.9,0.7,10.8,1.0
1.0,6.1,68.9,2.2,9.3,1.0
1.4,7.6,55.9,4.9,0.7,3.0
1.3,6.5,56.9,1.9,1.0,3.0
1.2,6.2,47.7,3.4,0.8,3.0
1.8,4.5,79.0,0.8,0.7,3.0
1.6,4.2,80.0,0.2,0.7,3.0
1.6,4.2,80.8,0.6,0.9,3.0
5.0,54.5,44.1,3.4,29.2,0.0
4.8,43.9,39.9,3.0,28.6,0.0
4.5,38.0,38.2,2.9,28.4,0.0
1.8,6.9,80.1,0.9,1.0,3.0
1.6,6.2,81.9,0.2,0.8,3.0
1.6,5.9,80.7,0.5,1.1,3.0
2.0,9.0,70.3,0.4,7.7,2.0
1.5,6.7,72.8,0.1,7.4,2.0
1.4,7.0,71.6,0.1,8.0,3.0
2.6,20.1,43.7,1.7,31.8,1.0
3.1,15.0,39.7,1.9,26.8,0.0
3.5,14.8,41.5,1.9,25.2,1.0
4.0,21.5,65.4,2.2,23.1,1.0
3.7,19.2,64.6,2.4,24.4,1.0
3.6,17.0,65.8,2.3,23.6,1.0
2.3,18.3,46.3,1.0,4.6,2.0
2.1,18.8,46.3,1.0,5.2,1.0
2.1,17.9,44.9,0.4,5.0,1.0
2.1,22.1,46.4,1.2,15.9,1.0
2.0,21.0,45.9,0.9,13.9,1.0
1.9,19.7,45.2,0.6,13.0,1.0
4.6,49.8,61.7,3.0,18.2,0.0
4.6,43.4,59.5,2.7,19.6,0.0
4.5,38.8,59.5,2.9,19.6,0.0
4.8,67.8,59.3,3.1,5.3,0.0
4.3,59.1,55.4,2.9,3.1,0.0
4.0,50.8,59.1,2.8,3.3,0.0
3.9,60.8,65.7,1.3,9.3,0.0
3.8,50.0,56.0,1.7,9.3,0.0
3.7,44.3,47.0,1.9,8.1,0.0
