Employment in agriculture (% of employed),Employment in services (% employed),Economy: Agriculture (% of Gross Value Added),"Fertility rate, total (live births per woman)",Education: Upper Sec. gross enrol. ratio - Male (per 100 pop.),Education: Upper Sec. gross enrol. ratio - Female (per 100 pop.),Health: Physicians (per 1 000 pop.),Under five mortality rate (per 1000 live births),Urban population (% of total population),Economy: Services and other activity (% of GVA),Population growth rate (average annual %),Employment in industry (% of employed),gdp_class
0.1,85.0,0.0,0.9,107.3,105.7,2.5,2.7,100.0,75.5,2.2,14.8,3.0
3.2,60.7,2.4,1.4,85.0,88.6,3.5,6.4,53.9,63.6,0.1,36.1,2.0
2.6,60.9,1.9,1.6,84.3,88.7,3.7,6.0,53.7,66.7,0.0,36.6,2.0
7.1,60.9,2.4,1.6,117.2,118.4,2.8,2.3,53.8,65.2,0.1,32.0,3.0
4.1,61.9,2.4,1.6,118.5,121.6,3.3,2.4,54.8,64.6,1.1,34.0,3.0
40.4,49.9,33.3,4.3,30.8,26.3,0.2,23.0,22.4,51.2,3.6,9.7,0.0
21.4,61.0,2.9,2.3,101.1,119.3,0.8,29.3,66.9,71.4,1.6,17.6,1.0
61.0,25.5,6.0,4.2,11.3,6.4,0.0,99.1,19.9,54.4,2.6,13.4,0.0
4.1,76.0,3.0,1.3,127.8,132.5,3.8,3.1,79.6,74.9,0.0,19.9,3.0
4.0,75.5,3.1,1.2,117.9,126.8,4.6,3.0,80.6,74.9,0.2,20.5,3.0
28.7,45.6,8.9,2.1,89.3,99.4,0.8,8.8,18.3,58.9,0.8,25.8,1.0
27.1,46.0,8.7,2.0,90.7,102.8,1.2,7.0,18.6,61.3,0.7,26.9,1.0
42.7,42.5,32.0,4.9,39.7,41.9,0.4,64.8,33.9,51.8,3.0,14.8,0.0
41.1,44.5,20.4,4.5,39.4,42.3,0.3,55.3,34.9,58.4,2.6,14.3,0.0
7.2,65.6,11.3,2.6,36.6,62.3,1.0,20.4,66.1,59.1,1.1,27.2,2.0
2.0,79.7,1.6,1.8,148.5,179.7,4.2,2.9,86.6,73.4,1.1,18.3,3.0
1.7,80.0,1.5,1.7,151.1,173.8,4.3,2.8,87.7,74.2,0.5,18.3,3.0
3.4,75.9,0.6,1.5,104.2,98.8,4.2,4.6,73.7,74.4,1.1,20.7,3.0
2.5,77.1,0.7,1.5,108.5,100.8,4.4,4.2,73.8,73.8,0.7,20.4,3.0
16.6,60.1,33.1,3.1,29.5,32.3,1.4,38.2,52.2,51.4,3.0,23.3,0.0
16.1,61.6,36.6,2.8,24.6,28.1,1.2,22.3,54.8,41.1,2.8,22.3,0.0
48.4,33.8,23.9,3.5,79.4,57.2,2.1,37.8,26.7,45.3,2.6,17.8,0.0
32.3,43.9,8.9,1.5,127.3,127.8,0.5,10.4,47.7,54.9,0.4,23.7,1.0
31.4,46.0,8.7,1.3,93.2,101.3,0.9,8.7,50.7,58.0,0.2,22.6,2.0
52.9,35.5,17.8,3.8,58.3,62.9,0.7,60.9,29.5,63.8,1.9,11.5,0.0
42.5,45.4,13.4,3.0,70.6,84.1,0.8,51.8,30.9,49.2,1.9,12.2,0.0
31.8,48.4,21.3,4.4,48.6,34.6,0.1,64.4,42.2,56.8,2.4,19.8,0.0
31.5,42.0,19.7,3.5,65.4,76.1,0.5,12.4,23.3,62.3,0.5,26.5,1.0
28.8,44.3,21.3,3.2,59.7,70.4,0.9,11.4,23.1,61.0,0.0,26.9,1.0
3.1,71.0,1.9,1.6,81.2,91.0,4.2,16.9,53.2,65.7,0.4,26.0,2.0
14.8,52.1,9.9,2.3,66.6,78.4,1.3,17.3,68.1,63.3,1.1,33.1,1.0
14.5,52.2,11.3,2.0,69.9,87.4,1.3,13.3,69.3,65.3,0.8,33.3,1.0
23.4,43.1,11.2,2.8,81.0,81.5,2.2,41.8,52.0,43.4,2.1,33.5,2.0
20.4,52.4,7.8,2.2,109.8,104.8,1.8,13.4,73.6,60.6,2.5,27.2,2.0
17.6,56.2,7.5,1.8,118.2,110.8,2.0,10.6,75.6,61.0,0.8,26.2,2.0
67.9,25.0,26.6,4.6,11.9,7.6,0.2,43.5,24.4,44.9,3.2,7.1,0.0
15.3,60.1,14.2,1.4,89.8,83.2,3.0,8.9,69.1,60.2,0.4,24.7,0.0
1.8,70.6,1.0,1.3,138.9,131.6,2.9,6.5,86.8,56.9,1.9,27.6,3.0
1.1,80.2,0.7,1.8,131.2,140.6,2.8,4.5,82.6,79.0,0.8,18.7,3.0
1.0,80.8,0.7,1.6,113.3,120.0,3.0,4.2,83.7,80.0,0.2,18.2,3.0
67.6,25.9,29.2,5.0,7.9,4.9,0.1,54.5,31.6,44.1,3.4,6.5,0.0
65.8,26.2,28.6,4.8,6.9,5.3,0.0,43.9,34.5,39.9,3.0,8.0,0.0
1.7,78.8,0.8,1.6,99.0,97.1,3.6,6.2,82.5,81.9,0.2,19.4,3.0
8.0,73.8,7.4,1.5,108.9,131.7,5.0,6.7,95.4,72.8,0.1,18.2,2.0
27.5,49.6,31.8,2.6,91.3,90.6,2.4,20.1,50.8,43.7,1.7,22.9,1.0
26.9,49.4,26.8,3.1,76.9,79.2,2.8,15.0,50.4,39.7,1.9,23.7,0.0
56.3,36.6,23.1,4.0,33.9,33.7,0.2,21.5,25.0,65.4,2.2,7.1,1.0
44.7,44.7,24.4,3.7,28.0,34.8,0.2,19.2,25.4,64.6,2.4,10.7,1.0
11.5,70.2,5.2,2.1,70.5,82.1,1.7,18.8,88.2,46.3,1.0,18.2,1.0
44.0,33.2,15.9,2.1,95.3,71.8,0.8,22.1,33.8,46.4,1.2,22.7,1.0
32.6,36.3,13.9,2.0,89.9,81.6,0.8,21.0,36.6,45.9,0.9,31.1,1.0
30.2,57.1,18.2,4.6,43.5,29.4,0.3,49.8,34.8,61.7,3.0,12.8,0.0
66.3,25.8,9.3,3.9,45.2,39.1,0.2,60.8,32.4,65.7,1.3,7.9,0.0
